Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"3/2"	""	"0.1962646"	""	""	"0.96"	"  43                :    34                                 (2F*<5/2>)(3D) 3[3/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"5/2"	""	"0.2002801"	""	""	"0.99"	"  46                :    33                                 (2F*<5/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"7/2"	""	"0.2024746"	""	""	"1.10"	"  53                :    40                                 (2F*<5/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"5/2"	""	"0.2027456"	""	""	"0.734"	"  63                :    22                                 (2F*<5/2>)(3D) 3[5/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"7/2"	""	"0.2069935"	""	""	"1.150"	"  48                :    41                                 (2F*<5/2>)(3D) 3[5/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"9/2"	""	"0.2103650"	""	""	"1.10"	"  77                :    20                                 (2F*<5/2>)(1D) 1[9/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(3D)"	"*"	"3/2"	""	"0.2047645"	""	""	"1.244"	"  29  3[1/2]*       :    17  (2F*<7/2>).5d2.(3F)            3[3/2]*                 "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[5/2]*"	"5/2"	""	"0.2050934"	""	""	"1.281"	"  48                :    34                                 (2F*<7/2>)(3F) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"7/2"	""	"0.2062791"	""	""	"1.18"	"  34  3[7/2]*       :    34                                 (2F*<7/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[9/2]*"	"9/2"	""	"0.2065616"	""	""	"1.01"	"  65                :    20                                 (2F*<5/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"3/2"	""	"0.2083944"	""	""	"1.333"	"  34  3[3/2]*       :    22                                 (2F*<7/2>)(3F) 3[1/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[7/2]*"	"9/2"	""	"0.2112069"	""	""	"1.29"	"  54                :    28                                 (2F*<7/2>)(3P) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"11/2"	""	"0.2120870"	""	""	"0.97"	"  82                :    14                                 (2F*<7/2>)(3F) 3[11/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"13/2"	""	"0.2172479"	""	""	"1.12"	"  85                :    15                                 (2F*<7/2>)(3F) 3[11/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"15/2"	""	"0.2229110"	""	""	"1.20"	"  96                :     4                                 (2F*<7/2>)(1G) 1[15/2]* "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[3/2]*"	"1/2"	""	"0.2137045"	""	""	"1.30"	"  48                :    24                                 (2F*<7/2>)(3F) 3[1/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[3/2]*"	"3/2"	""	"0.2141726"	""	""	"0.990"	"  77                :     8                                 (2F*<5/2>)(3D) 3[1/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[1/2]*"	"1/2"	""	"0.2151910"	""	""	"0.74"	"  50                :    14                                 (2F*<7/2>)(3D) 3[3/2]*  "	""
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[5/2]*"	"5/2"	""	"0.2156488"	""	""	"0.990"	"  58                :    12  (2F*<7/2>).5d2.(3F)            3[3/2]*                 "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"9/2"	""	"0.2171710"	""	""	"0.98"	"  62                :    19                                 (2F*<7/2>)(3F) 3[9/2]*  "	""
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"11/2"	""	"0.2209997"	""	""	"1.10"	"  54                :    28                                 (2F*<7/2>)(3F) 3[9/2]*  "	""
