# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,3,1,1.5,9,2,1.5,0.362769,0.0001814
Li,3,1,1.5,9,2,2.5,1.08831,0.0005442
Li,3,1,1.5,10,2,1.5,0.298454,0.0001492
Li,3,1,1.5,10,2,2.5,0.895365,0.0004477
Li,4,2,1.5,4,3,2.5,24.6231,0.020081
Li,4,2,1.5,5,3,2.5,21.5736,0.146921
Li,4,2,1.5,6,3,2.5,8.01336,0.0040067
Li,4,2,1.5,7,3,2.5,4.53797,0.002269
Li,4,2,1.5,8,3,2.5,3.06181,0.0015309
Li,4,2,1.5,9,3,2.5,2.26891,0.0011345
Li,4,2,1.5,10,3,2.5,1.78132,0.0008907
Li,4,2,2.5,4,3,2.5,6.58079,0.0053628
Li,4,2,2.5,4,3,3.5,29.4302,0.023903
Li,4,2,2.5,5,3,2.5,5.76584,0.0392488
Li,4,2,2.5,5,3,3.5,25.7857,0.175434
Li,4,2,2.5,6,3,2.5,2.14166,0.0010708
Li,4,2,2.5,6,3,3.5,9.57782,0.0047889
Li,4,2,2.5,7,3,2.5,1.21282,0.0006064
Li,4,2,2.5,7,3,3.5,5.42392,0.002712
Li,4,2,2.5,8,3,2.5,0.8183,0.0004092
Li,4,2,2.5,8,3,3.5,3.65957,0.0018298
Li,4,2,2.5,9,3,2.5,0.606388,0.0003032
Li,4,2,2.5,9,3,3.5,2.71186,0.0013559
Li,4,2,2.5,10,3,2.5,0.476076,0.000238
Li,4,2,2.5,10,3,3.5,2.12909,0.0010645
Li,2,1,0.5,4,0,0.5,0.648233,0.0003241
Li,2,1,1.5,4,0,0.5,0.916747,0.0004584
Li,3,1,0.5,4,0,0.5,5.99659,0.0029983
Li,3,1,1.5,4,0,0.5,8.48044,0.0042402
